GA,Lowest,Q1,Avg.,Q3,Highest
0, -207.31607, -46.44053, -11.308767, 28.729248, 182.13281
1, -154.17688, -26.60273, 18.98027, 55.83577, 195.16367
2, -326.4449, -0.35433197, 32.06157, 74.99333, 181.96555
3, -591.3333, 16.887466, 50.29649, 82.75519, 221.50842
4, -146.4743, 39.493103, 78.53667, 111.610886, 379.82303
5, -82.886314, 44.81453, 92.443565, 134.02698, 325.10855
6, -50.679398, 51.913055, 99.01064, 151.84912, 305.29208
7, -89.40506, 77.59383, 130.75267, 176.43015, 510.94763
8, -106.18437, 94.17383, 139.33319, 176.94641, 321.95102
9, -68.612625, 103.26019, 152.39627, 204.64944, 400.0006
10, -63.260437, 100.09009, 158.73335, 216.15198, 352.78848
11, -197.3499, 121.58464, 172.04222, 224.41049, 327.54825
12, -146.44577, 144.65433, 192.75342, 244.27042, 366.39032
13, -331.88184, 157.52844, 218.99379, 284.6476, 1086.2411
14, -187.82755, 163.68756, 216.63597, 292.41943, 384.37762
15, -579.37146, 192.00641, 232.23396, 314.37424, 418.3725
16, -397.96127, 161.62979, 246.73166, 326.11807, 411.98364
17, -119.46064, 208.74774, 255.67365, 328.63916, 441.6449
18, -51.329002, 255.51498, 292.2612, 367.39337, 540.2919
19, -35.3621, 238.95093, 299.93454, 379.225, 628.2803
20, -15.586632, 284.32788, 320.05853, 394.22296, 640.4208
21, -38.981438, 184.76486, 298.41788, 398.9881, 793.13794
22, -64.490875, 248.91525, 325.35654, 413.0714, 620.4952
23, -77.52153, 207.25043, 319.5967, 420.68085, 736.05145
24, -92.46377, 300.5239, 362.64734, 440.6162, 983.2521
25, 42.034378, 257.1436, 361.03058, 432.05206, 970.89856
26, -33.262413, 224.88925, 355.25458, 444.3167, 859.40967
27, -163.0351, 228.956, 352.69052, 437.37073, 1010.21497
28, -81.30965, 227.97318, 336.15607, 432.54633, 804.4655
29, -336.74588, 196.20636, 352.82288, 449.28284, 1207.8662
30, -702.07886, 222.4357, 336.45325, 457.81348, 706.6813
31, -76.75479, 290.95764, 389.86514, 458.89874, 935.7805
32, -84.02736, 207.275, 364.2631, 465.44177, 916.96655
33, -88.55191, 259.3393, 391.7953, 490.4923, 1030.7659
34, -47.859467, 223.7084, 377.69974, 470.26202, 1222.7622
35, -0.15792847, 284.9418, 416.29745, 478.2926, 1252.798
36, -206.13234, 235.46875, 400.01505, 509.08716, 1344.3102
37, -237.74197, 214.35745, 367.90378, 489.84338, 1293.1149
38, -107.77876, 168.84772, 325.9647, 486.18152, 993.2715
39, -197.86153, 226.40161, 372.60565, 495.46857, 1102.6029
40, -10.545319, 244.78116, 446.02362, 568.0349, 1127.003
41, -42.29985, 176.87936, 364.59866, 484.40546, 1143.4636
42, -205.19052, 172.80603, 378.2586, 513.89435, 1214.527
43, -413.1459, 165.0459, 357.67337, 487.97522, 1684.9603
44, -497.7089, 132.74692, 365.83664, 591.0487, 1296.3473
45, -189.32776, 143.32315, 376.03387, 561.63635, 1341.4156
46, -420.09772, 126.00241, 322.9907, 508.3429, 1004.3711
47, -389.42, 129.16446, 317.1427, 481.28088, 1155.3955
48, -244.47745, 140.80771, 321.84293, 480.8659, 937.57153
49, -332.79837, 207.59985, 375.78738, 492.08563, 1291.5869
50, -314.6223, 153.82126, 352.15372, 479.62677, 1393.0985
51, -733.9845, 188.89056, 382.32785, 549.0597, 1202.6768
52, -410.80444, 167.72177, 387.76785, 560.04816, 1400.2548
53, -634.9707, 151.4805, 390.08264, 590.3269, 1307.1287
54, -575.8638, 138.54144, 395.40015, 643.4576, 1300.8273
55, -261.44107, 182.36002, 416.4741, 603.90894, 1118.5101
56, -1064.6208, 107.95204, 308.06097, 521.9141, 1130.277
57, -942.6829, 132.46368, 331.72763, 500.92792, 1371.0739
58, -500.46555, 147.32092, 400.52347, 678.4362, 1292.1433
59, -426.54727, 123.42793, 434.8122, 778.7747, 1315.3584
60, -135.8451, 198.33353, 530.09344, 806.64124, 1418.8561
61, -200.40608, 296.67807, 600.89667, 910.1969, 1350.2769
62, -323.09906, 286.6731, 657.9256, 951.1948, 1361.2554
63, -805.7631, 214.87375, 551.2351, 810.539, 1400.4174
64, -624.408, 220.63412, 511.67126, 790.9684, 1306.3794
65, -83.818436, 175.09625, 479.19226, 751.2739, 1545.9355
66, -388.46805, 215.5127, 511.16263, 812.2845, 1205.5077
67, -185.69969, 203.42746, 509.79495, 787.1442, 1443.8391
68, -184.74812, 158.6789, 489.41476, 744.1026, 1536.9521
69, -3.5899734, 157.04123, 473.89764, 658.0538, 1415.3679
70, -480.36118, 165.17245, 414.15015, 636.4266, 1458.9938
71, -497.07352, 173.15128, 446.6584, 677.4931, 1525.3721
72, -275.0689, 217.0506, 507.27835, 783.56757, 1455.0947
73, -48.816345, 209.68985, 540.7272, 792.02966, 1538.1227
74, -560.01904, 210.15875, 547.47064, 854.1377, 1390.1633
75, -95.813614, 256.68436, 588.1506, 865.42694, 1408.6367
76, -162.75723, 202.66599, 578.7236, 921.70886, 1505.8209
77, -299.0545, 246.4833, 604.826, 901.7202, 1722.8883
78, -153.25572, 282.2224, 634.86017, 950.34436, 1298.9788
79, -618.13904, 206.16672, 569.7134, 889.2133, 1762.1527
80, -494.617, 233.08224, 574.49005, 887.06195, 1745.7543
81, -318.28296, 163.88611, 478.33228, 720.6836, 1316.3816
82, -562.7235, 235.46158, 544.8975, 850.3863, 1386.9342
83, -158.98917, 158.52094, 519.17316, 732.91455, 1469.6034
84, -479.82672, 180.37592, 475.0269, 720.07776, 1328.9888
85, -690.6488, 164.03217, 498.5811, 805.24854, 1385.3284
86, -756.4273, 220.38614, 492.496, 746.94366, 1369.458
87, -246.18393, 182.21494, 519.1772, 762.7088, 1332.165
88, -551.98096, 228.10056, 537.2195, 833.27814, 1498.8143
89, -374.72058, 218.94089, 551.3053, 895.09955, 1520.3522
90, -779.321, 295.83878, 577.1027, 871.9356, 1504.8265
91, -632.901, 258.88715, 553.1474, 808.1224, 1404.5869
92, -882.4544, 214.05444, 564.4076, 843.68555, 1272.9381
93, -756.88904, 108.57202, 469.89124, 785.7559, 1309.5629
94, -596.61096, 166.93271, 483.97302, 746.98456, 1336.6617
